年份,国家,lg
2006,坦桑尼亚,4.717873675901176
2007,坦桑尼亚,4.708809220747577
2008,坦桑尼亚,5.24818129705424
2009,坦桑尼亚,5.641162112674534
2010,坦桑尼亚,5.728507607043001
2011,坦桑尼亚,6.008985160825971
2012,坦桑尼亚,6.293049524728755
2013,坦桑尼亚,6.574322418773348
2014,坦桑尼亚,6.785791014157531
2015,坦桑尼亚,7.037791821726943
2016,坦桑尼亚,7.08337945832836
2017,坦桑尼亚,7.1548497044521335
2018,坦桑尼亚,7.172232693789324
2019,坦桑尼亚,7.197090983430574
2003,突尼斯,0.44468582126144574
2004,突尼斯,0.2468600779315258
2005,突尼斯,0.7654678421395714
2006,突尼斯,1.3635373739972745
2007,突尼斯,1.2725655957915476
2008,突尼斯,1.2725655957915476
2009,突尼斯,0.8197798314933114
2010,突尼斯,0.9282193027394288
2011,突尼斯,1.8389610707123492
2012,突尼斯,1.7387102481382397
2013,突尼斯,2.6290069937617573
2014,突尼斯,2.67827804276854
2015,突尼斯,3.0368742168851663
2016,突尼斯,2.791165107812717
2017,突尼斯,2.71336936257981
2018,突尼斯,3.0694473113762717
2019,突尼斯,3.6005945392463645
2003,乌干达,0.28517894223366247
2004,乌干达,-1.4696759700589417
2005,乌干达,1.6034198401085373
2006,乌干达,2.6858045921548905
2007,乌干达,2.9274534328006965
2008,乌干达,2.4832385926873033
2009,乌干达,4.0700518696530565
2010,乌干达,4.733387483788845
2011,乌干达,4.837947186270539
2012,乌干达,4.9494688588587685
2013,乌干达,5.950017357193809
2014,乌干达,6.14010004624713
2015,乌干达,6.582232873547175
2016,乌干达,6.914204438376316
2017,乌干达,6.356003488603501
2018,乌干达,6.682321607343044
2019,乌干达,6.507188156136165
2003,赞比亚,4.967727793084979
2004,赞比亚,4.995521656286208
2005,赞比亚,5.077109440701582
2006,赞比亚,5.590464455958976
2007,赞比亚,6.062295727868573
2008,赞比亚,6.4790164262142556
2009,赞比亚,6.7381169489405215
2010,赞比亚,6.8498401082857
2011,赞比亚,7.089943493553079
2012,赞比亚,7.59995701274808
2013,赞比亚,7.6798615033408835
2014,赞比亚,7.728411378422905
2015,赞比亚,7.757059696315357
2016,赞比亚,7.89624015280474
2017,赞比亚,7.994106034692581
2018,赞比亚,8.16707385530497
2019,赞比亚,7.959901201369853
2003,阿根廷,0.04879016416943205
2004,阿根廷,2.958549482426275
2005,阿根廷,1.4398351280479205
2006,阿根廷,2.428336298299606
2007,阿根廷,5.057455264740146
2008,阿根廷,5.1553703572281036
2009,阿根廷,5.130194529153895
2010,阿根廷,5.389026066673499
2011,阿根廷,6.004504160615785
2012,阿根廷,6.799267656797046
2013,阿根廷,7.413487955682118
2014,阿根廷,7.490819700511887
2015,阿根廷,7.575030651974512
2016,阿根廷,7.572328072604758
2017,阿根廷,7.339238949488855
2018,阿根廷,7.367058108343252
2019,阿根廷,7.500203285155217
2003,安提瓜和巴布达,-1.6094379124341003
2004,安提瓜和巴布达,-1.6094379124341003
2005,安提瓜和巴布达,-0.916290731874155
2006,安提瓜和巴布达,0.22314355131420976
2007,安提瓜和巴布达,0.22314355131420976
2008,安提瓜和巴布达,0.22314355131420976
2009,安提瓜和巴布达,0.22314355131420976
2010,安提瓜和巴布达,0.22314355131420976
2011,安提瓜和巴布达,1.5769147207285403
2012,安提瓜和巴布达,1.6937790608678513
2013,安提瓜和巴布达,1.840549633397487
2014,安提瓜和巴布达,1.840549633397487
2015,安提瓜和巴布达,1.840549633397487
2016,安提瓜和巴布达,1.9021075263969205
2017,安提瓜和巴布达,1.9021075263969205
2018,安提瓜和巴布达,1.7578579175523736
2019,安提瓜和巴布达,1.6937790608678513
2003,巴哈马,3.794364961959914
2004,巴哈马,4.383275854074314
2005,巴哈马,2.6871669901857858
2006,巴哈马,2.8633430855082453
2007,巴哈马,4.034417613641752
2008,巴哈马,-0.5108256237659907
2009,巴哈马,0.47000362924573563
2010,巴哈马,0.47000362924573563
2011,巴哈马,0.47000362924573563
2012,巴哈马,-0.5108256237659907
2013,巴哈马,-0.5108256237659907
2014,巴哈马,-0.5108256237659907
2015,巴哈马,-0.5108256237659907
2016,巴哈马,5.078916801512661
2017,巴哈马,5.079103583569675
2018,巴哈马,5.104064918886117
2019,巴哈马,5.087719784402346
2003,巴拿马,-1.8325814637483102
2004,巴拿马,-0.8915981192837836
2005,巴拿马,3.5487549460197703
2006,巴拿马,3.6087534096346516
2007,巴拿马,4.012953724006587
2008,巴拿马,4.2103482379784065
2009,巴拿马,4.395559648956466
2010,巴拿马,5.4662864171175904
2011,巴拿马,5.801453501829647
2012,巴拿马,5.281272931938778
2013,巴拿马,6.170948749081776
2014,巴拿马,5.322668457411868
2015,巴拿马,5.430003307373411
2016,巴拿马,5.594153603255688
2017,巴拿马,5.882709387270944
2018,巴拿马,6.2267540369657475
2019,巴拿马,6.309900096243044
2003,巴西,3.9548909056553216
2004,巴西,4.372228792193771
2005,巴西,4.3992524153389505
2006,巴西,4.8706833336688105
2007,巴西,5.244652841962344
2008,巴西,5.380127741745603
2009,巴西,5.8885732027583435
2010,巴西,6.8283332120046465
2011,巴西,6.977085426918325
2012,巴西,7.278980847268579
2013,巴西,7.457943913468937
2014,巴西,7.949052670979263
2015,巴西,7.721844943326192
2016,巴西,7.993792160965116
2017,巴西,8.072634937217767
2018,巴西,8.246026578325433
2019,巴西,8.39723311912609
2003,厄瓜多尔,-0.5978370007556204
2004,厄瓜多尔,0.7839015438284094
2005,厄瓜多尔,2.8970163006148333
2006,厄瓜多尔,3.664586761544892
2007,厄瓜多尔,3.8954870367880465
2008,厄瓜多尔,4.484131857611035
2009,厄瓜多尔,4.669083511731744
2010,厄瓜多尔,4.864298451021812
2011,厄瓜多尔,4.556400021618662
2012,厄瓜多尔,6.010359900210274
2013,厄瓜多尔,6.916506871833933
2014,厄瓜多尔,6.850761557462016
2015,厄瓜多尔,6.962574848746244
2016,厄瓜多尔,7.073371407204387
2017,厄瓜多尔,6.939680211766511
2018,厄瓜多尔,7.123285925533127
2019,厄瓜多尔,6.47345850420527
2003,哥伦比亚,-0.23572233352106983
2004,哥伦比亚,1.9050881545350582
2005,哥伦比亚,1.9960599327407849
2006,哥伦比亚,1.7404661748405046
2007,哥伦比亚,1.9125010869241836
2008,哥伦比亚,2.6181254935742233
2009,哥伦比亚,3.0204248861443626
2010,哥伦比亚,3.134189016701007
2011,哥伦比亚,4.091005660956586
2012,哥伦比亚,5.846872207124035
2013,哥伦比亚,5.909956182550611
2014,哥伦比亚,6.304997098149872
2015,哥伦比亚,6.317940558965774
2016,哥伦比亚,5.8928865337468865
2017,哥伦比亚,5.880169791961964
2018,哥伦比亚,5.649326288860142
2019,哥伦比亚,5.727173427446777
2003,古巴,2.6354795082673745
2004,古巴,2.6979998652487085
2005,古巴,3.5142284036242013
2006,古巴,4.0928434360958335
2007,古巴,4.197051560414364
2008,古巴,4.277360322445531
2009,古巴,4.44640889360315
2010,古巴,4.233816607508695
2011,古巴,4.986137662495856
2012,古巴,4.910372872157861
2013,古巴,4.7125885827553615
2014,古巴,4.13596623691292
2015,古巴,4.792645108022841
2016,古巴,4.879006851617819
2017,古巴,4.74493212836325
2018,古巴,5.0046842886028164
2019,古巴,4.770684624465665
2003,圭亚那,2.641910398597665
2004,圭亚那,2.554121718809473
2005,圭亚那,1.7227665977411035
2006,圭亚那,2.151762203259462
2007,圭亚那,4.22829253473184
2008,圭亚那,4.241326752570746
2009,圭亚那,5.008031908226141
2010,圭亚那,5.210414683372125
2011,圭亚那,4.9062372780499945
2012,圭亚那,5.023090735363602
2013,圭亚那,5.416900082374984
2014,圭亚那,5.5116933703031945
2015,圭亚那,5.545216506216643
2016,圭亚那,5.547830172882315
2017,圭亚那,4.706733501397532
2018,圭亚那,5.292601059551927
2019,圭亚那,5.264967386866482
2003,洪都拉斯,2.189416394888408
2004,洪都拉斯,1.724550719534605
2005,洪都拉斯,1.6639260977181702
2006,洪都拉斯,1.6639260977181702
2007,洪都拉斯,-0.10536051565782628
2008,洪都拉斯,1.8393569954941882
2009,洪都拉斯,1.4994156866251505
2010,洪都拉斯,3.3056091078276255
2011,洪都拉斯,1.8351430791269483
2012,洪都拉斯,3.204164764848772
2013,洪都拉斯,0.5240580242008589
2014,洪都拉斯,0.8097509626170983
2015,洪都拉斯,2.457314232323551
2016,洪都拉斯,3.321793358874887
2017,洪都拉斯,0.14842000511827322
2018,洪都拉斯,3.916413353729439
2019,洪都拉斯,2.7485521444115397
2003,开曼群岛,8.213566001899578
2004,开曼群岛,8.803861249929612
2005,开曼群岛,9.097797457870113
2006,开曼群岛,9.561644217355274
2007,开曼群岛,9.729769677696336
2008,开曼群岛,9.919727468356916
2009,开曼群岛,9.516137619365145
2010,开曼群岛,9.755930834678155
2011,开曼群岛,9.98471355983444
2012,开曼群岛,10.311349785244014
2013,开曼群岛,10.653110997658432
2014,开曼群岛,10.697310492398808
2015,开曼群岛,11.041385936835423
2016,开曼群岛,11.554153105205135
2017,开曼群岛,12.427944133314526
2018,开曼群岛,12.465446729359167
2019,开曼群岛,12.528681575747989
2003,秘鲁,4.837709458942664
2004,秘鲁,4.834852314141884
2005,秘鲁,4.86151637813002
2006,秘鲁,4.870606649492553
2007,秘鲁,4.920783523368564
2008,秘鲁,5.269609202411293
2009,秘鲁,5.650873841223021
2010,秘鲁,6.483856306394424
2011,秘鲁,6.687407814969928
2012,秘鲁,6.623892570133132
2013,秘鲁,6.765938226313696
2014,秘鲁,6.81122235192699
2015,秘鲁,6.558892596847975
2016,秘鲁,6.633028917690572
2017,秘鲁,6.732723090074991
2018,秘鲁,6.847474348097207
2019,秘鲁,7.243470085968791
2003,墨西哥,4.576564928977757
2004,墨西哥,4.830631050257462
2005,墨西哥,4.954840655773941
2006,墨西哥,4.856784569277996
2007,墨西哥,5.020189506901067
2008,墨西哥,5.153753915356684
2009,墨西哥,5.158480421360237
2010,墨西哥,5.0295878870129425
2011,墨西哥,5.57549445435467
2012,墨西哥,5.909386436072375
2013,墨西哥,6.015840036249296
2014,墨西哥,6.293807373583428
2015,墨西哥,6.26294101521283
2016,墨西哥,6.360611392542035
2017,墨西哥,6.8001876628022035
2018,墨西哥,7.0093025228558
2019,墨西哥,7.057105702807688
2003,圣文森特和格林纳丁斯,1.7227665977411035
2004,圣文森特和格林纳丁斯,1.7227665977411035
2005,圣文森特和格林纳丁斯,2.50715725872282
2006,圣文森特和格林纳丁斯,2.702702594775615
2007,圣文森特和格林纳丁斯,3.0349529867072724
2008,圣文森特和格林纳丁斯,3.480932349681009
2009,圣文森特和格林纳丁斯,3.136797713832594
2010,圣文森特和格林纳丁斯,3.588782837575651
2011,圣文森特和格林纳丁斯,3.5890591188317256
2012,圣文森特和格林纳丁斯,3.5890591188317256
2013,圣文森特和格林纳丁斯,3.5890591188317256
2014,圣文森特和格林纳丁斯,3.6635616461296463
2015,圣文森特和格林纳丁斯,3.7386215460087504
2016,圣文森特和格林纳丁斯,3.6768068728796672
2017,圣文森特和格林纳丁斯,3.7584055167625467
2018,圣文森特和格林纳丁斯,3.778263015248622
2019,圣文森特和格林纳丁斯,3.766071949943842
2003,苏里南,2.3085671646715933
2004,苏里南,2.327277705584417
2005,苏里南,2.5664866367804233
2006,苏里南,3.4722769633431074
2007,苏里南,4.178685710655851
2008,苏里南,4.215086179918229
2009,苏里南,4.231203744939298
2010,苏里南,4.367420482284519
2011,苏里南,4.367420482284519
2012,苏里南,3.820126990723609
2013,苏里南,4.717873675901176
2014,苏里南,4.542549824006424
2015,苏里南,4.731979032851787
2016,苏里南,4.82895353258964
2017,苏里南,5.102241653521419
2018,苏里南,4.599152113662528
2019,苏里南,4.888015580548345
2003,委内瑞拉,2.9647574692545606
2004,委内瑞拉,3.2876553402630266
2005,委内瑞拉,3.753027273937688
2006,委内瑞拉,4.2708157053378795
2007,委内瑞拉,4.968979618827423
2008,委内瑞拉,5.049599564114397
2009,委内瑞拉,5.6056549966582585
2010,委内瑞拉,6.031934479661695
2011,委内瑞拉,6.2166061010848646
2012,委内瑞拉,7.6220571136144795
2013,委内瑞拉,7.767848076784409
2014,委内瑞拉,7.821334337591326
2015,委内瑞拉,7.9374782622287166
2016,委内瑞拉,7.916337092311682
2017,委内瑞拉,8.07316915112945
2018,委内瑞拉,8.160869614312377
2019,委内瑞拉,8.14069447710067
2003,乌拉圭,-0.6348782724359695
2004,乌拉圭,-0.5978370007556204
2005,乌拉圭,-0.579818495252942
2006,乌拉圭,0.4885800148186709
2007,乌拉圭,0.7466879474879751
2008,乌拉圭,0.7466879474879751
2009,乌拉圭,1.9671123567059163
2010,乌拉圭,2.0162354657760435
2011,乌拉圭,2.0980179272527715
2012,乌拉圭,2.8707357833793057
2013,乌拉圭,3.255400599550573
2014,乌拉圭,5.350957253872216
2015,乌拉圭,5.208009653516503
2016,乌拉圭,5.418719192400332
2017,乌拉圭,5.2916954902391495
2018,乌拉圭,5.60285655606624
2019,乌拉圭,5.4353364202061245
2003,英属维尔京群岛,6.277845773826715
2004,英属维尔京群岛,6.993364006051475
2005,英属维尔京群岛,7.592658571886189
2006,英属维尔京群岛,8.465984104009495
2007,英属维尔京群岛,8.798838076671638
