X1,利用外资:实际使用:外商直接投资和其他:总计,利用外资:实际使用:外商直接投资和其他:亚洲:香港特别行政区 (中国),利用外资:实际使用:外商直接投资和其他:亚洲:印度尼西亚,利用外资:实际使用:外商直接投资和其他:亚洲:日本,利用外资:实际使用:外商直接投资和其他:亚洲:科威特,利用外资:实际使用:外商直接投资和其他:亚洲:澳门特别行政区 (中国),利用外资:实际使用:外商直接投资和其他:亚洲:马来西亚,利用外资:实际使用:外商直接投资和其他:亚洲:菲律宾,利用外资:实际使用:外商直接投资和其他:亚洲:新加坡,利用外资:实际使用:外商直接投资和其他:亚洲:韩国,利用外资:实际使用:外商直接投资和其他:亚洲:泰国,利用外资:实际使用:外商直接投资和其他:亚洲:台湾,利用外资:实际使用:外商直接投资和其他:欧洲:比利时,利用外资:实际使用:外商直接投资和其他:欧洲:丹麦,利用外资:实际使用:外商直接投资和其他:欧洲:英国,利用外资:实际使用:外商直接投资和其他:欧洲:德国,利用外资:实际使用:外商直接投资和其他:欧洲:法国,利用外资:实际使用:外商直接投资和其他:欧洲:爱尔兰,利用外资:实际使用:外商直接投资和其他:欧洲:意大利,利用外资:实际使用:外商直接投资和其他:欧洲:卢森堡,利用外资:实际使用:外商直接投资和其他:欧洲:荷兰,利用外资:实际使用:外商直接投资和其他:欧洲:葡萄牙,利用外资:实际使用:外商直接投资和其他:欧洲:西班牙,利用外资:实际使用:外商直接投资和其他:欧洲:奥地利,利用外资:实际使用:外商直接投资和其他:欧洲:芬兰,利用外资:实际使用:外商直接投资和其他:欧洲:瑞典,利用外资:实际使用:外商直接投资和其他:北美洲:加拿大,利用外资:实际使用:外商直接投资和其他:北美洲:美国,利用外资:实际使用:外商直接投资和其他:大洋洲:澳大利亚,利用外资:实际使用:外商直接投资和其他:大洋洲:新西兰,(DC)利用外资:亚洲:香港特别行政区 (中国),(DC)利用外资:亚洲:印度尼西亚,(DC)利用外资:亚洲:日本,(DC)利用外资:亚洲:科威特,(DC)利用外资:亚洲:澳门特别行政区 (中国),(DC)利用外资:亚洲:马来西亚,(DC)利用外资:亚洲:菲律宾,(DC)利用外资:亚洲:新加坡,(DC)利用外资:亚洲:韩国,(DC)利用外资:亚洲:泰国,(DC)利用外资:亚洲:台湾,(DC)利用外资:欧洲:比利时,(DC)利用外资:欧洲:丹麦,(DC)利用外资:欧洲:英国,(DC)利用外资:欧洲:德国,(DC)利用外资:欧洲:法国,(DC)利用外资:欧洲:爱尔兰,(DC)利用外资:欧洲:意大利,(DC)利用外资:欧洲:卢森堡,(DC)利用外资:欧洲:荷兰,(DC)利用外资:欧洲:葡萄牙,(DC)利用外资:欧洲:西班牙,(DC)利用外资:欧洲:奥地利,(DC)利用外资:欧洲:芬兰,(DC)利用外资:欧洲:瑞典,(DC)利用外资:北美洲:加拿大,(DC)利用外资:北美洲:美国,(DC)利用外资:大洋洲:澳大利亚,(DC)利用外资:大洋洲:新西兰,(DC)利用外资:对外借款:亚洲:香港特别行政区 (中国),(DC)利用外资:对外借款:亚洲:印度尼西亚,(DC)利用外资:对外借款:亚洲:日本,(DC)利用外资:对外借款:亚洲:科威特,(DC)利用外资:对外借款:亚洲:澳门特别行政区 (中国),(DC)利用外资:对外借款:亚洲:马来西亚,(DC)利用外资:对外借款:亚洲:菲律宾,(DC)利用外资:对外借款:亚洲:新加坡,(DC)利用外资:对外借款:亚洲:韩国,(DC)利用外资:对外借款:亚洲:泰国,(DC)利用外资:对外借款:亚洲:台湾,(DC)利用外资:对外借款::欧洲:比利时,(DC)利用外资:对外借款::欧洲:丹麦,(DC)利用外资:对外借款::欧洲:英国,(DC)利用外资:对外借款::欧洲:德国,(DC)利用外资:对外借款::欧洲:法国,(DC)利用外资:对外借款::欧洲:爱尔兰,(DC)利用外资:对外借款::欧洲:意大利,(DC)利用外资:对外借款::欧洲:卢森堡,(DC)利用外资:对外借款::欧洲:荷兰,(DC)利用外资:对外借款::欧洲:葡萄牙,(DC)利用外资:对外借款::欧洲:西班牙,(DC)利用外资:对外借款::欧洲:奥地利,(DC)利用外资:对外借款::欧洲:芬兰,(DC)利用外资:对外借款::欧洲:瑞典,(DC)利用外资:对外借款:北美洲:加拿大,(DC)利用外资:对外借款:北美洲:美国,(DC)利用外资:对外借款:大洋洲:澳大利亚,(DC)利用外资:对外借款:大洋洲:新西兰,对外直接投资:非金融类:累计:一带一路,对外直接投资:亚洲,对外直接投资:亚洲:阿富汗,对外直接投资:亚洲:巴林,对外直接投资:亚洲:孟加拉国,对外直接投资:亚洲:文莱,对外直接投资:亚洲:塞浦路斯,对外直接投资:亚洲:柬埔寨,对外直接投资:亚洲:东帝汶,对外直接投资:亚洲:香港特别行政区 (中国),对外直接投资:亚洲:印度,对外直接投资:亚洲:印度尼西亚,对外直接投资:亚洲:伊朗,对外直接投资:亚洲:伊拉克,对外直接投资:亚洲:以色列,对外直接投资:亚洲:日本,对外直接投资:亚洲:约旦,对外直接投资:亚洲:哈萨克斯坦,对外直接投资:亚洲:吉尔吉斯斯坦,对外直接投资:亚洲:朝鲜,对外直接投资:亚洲:韩国,对外直接投资:亚洲:科威特,对外直接投资:亚洲:老挝,对外直接投资:亚洲:黎巴嫩,对外直接投资:亚洲:马尔代夫,对外直接投资:亚洲:澳门特别行政区 (中国),对外直接投资:亚洲:马来西亚,对外直接投资:亚洲:蒙古,对外直接投资:亚洲:缅甸,对外直接投资:亚洲:尼泊尔,对外直接投资:亚洲:阿曼,对外直接投资:亚洲:巴基斯坦,对外直接投资:亚洲:巴勒斯坦,对外直接投资:亚洲:菲律宾,对外直接投资:亚洲:卡塔尔,对外直接投资:亚洲:沙特阿拉伯,对外直接投资:亚洲:新加坡,对外直接投资:亚洲:斯里兰卡,对外直接投资:亚洲:叙利亚,对外直接投资:亚洲:塔吉克,对外直接投资:亚洲:台湾省,对外直接投资:亚洲:泰国,对外直接投资:亚洲:土库曼,对外直接投资:亚洲:土耳其,对外直接投资:亚洲:阿拉伯联合酋长国,对外直接投资:亚洲:乌兹别克,对外直接投资:亚洲:越南,对外直接投资:亚洲:也门共和国,对外直接投资:非洲,对外直接投资:非洲:阿尔及利亚,对外直接投资:非洲:安哥拉,对外直接投资:非洲:贝宁,对外直接投资:非洲:博茨瓦纳,对外直接投资:非洲:布基纳法索,对外直接投资:非洲:布隆迪,对外直接投资:非洲:喀麦隆,对外直接投资:非洲:佛得角,对外直接投资:非洲:中非,对外直接投资:非洲:乍得,对外直接投资:非洲:科摩罗,对外直接投资:非洲:民主刚果,对外直接投资:非洲:刚果,对外直接投资:非洲:科特迪瓦共和国,对外直接投资:非洲:吉布提,对外直接投资:非洲:埃及,对外直接投资:非洲:赤道几内亚,对外直接投资:非洲:厄立特里亚,对外直接投资:非洲:埃塞俄比亚,对外直接投资:非洲:加蓬,对外直接投资:非洲:冈比亚,对外直接投资:非洲:加纳,对外直接投资:非洲:几内亚,对外直接投资:非洲:几内亚比绍,对外直接投资:非洲:肯尼亚,对外直接投资:非洲:莱索托,对外直接投资:非洲:利比里亚,对外直接投资:非洲:利比亚,对外直接投资:非洲:马达加斯加,对外直接投资:非洲:马拉维,对外直接投资:非洲:马里,对外直接投资:非洲:毛里塔尼亚,对外直接投资:非洲:毛里求斯,对外直接投资:非洲:摩洛哥,对外直接投资:非洲:莫桑比克,对外直接投资:非洲:纳米比亚,对外直接投资:非洲:尼日尔,对外直接投资:非洲:尼日利亚,对外直接投资:非洲:卢旺达,对外直接投资:非洲:圣多美和普林西比,对外直接投资:非洲:塞内加尔,对外直接投资:非洲:塞舌尔,对外直接投资:非洲:塞拉利昂,对外直接投资:非洲:南非,对外直接投资:非洲:南苏丹,对外直接投资:非洲:苏丹,对外直接投资:非洲:坦桑尼亚,对外直接投资:非洲:多哥,对外直接投资:非洲:突尼斯,对外直接投资:非洲:乌干达,对外直接投资:非洲:赞比亚,对外直接投资:非洲:津巴布韦,对外直接投资:欧洲,对外直接投资:欧洲:阿尔巴尼亚,对外直接投资:欧洲:亚美尼亚,对外直接投资:欧洲:奥地利,对外直接投资:欧洲:阿塞拜疆,对外直接投资:欧洲:白俄罗斯,对外直接投资:欧洲:比利时,对外直接投资:欧洲:波斯尼亚—黑塞哥维那,对外直接投资:欧洲:保加利亚,对外直接投资:欧洲:克罗地亚,对外直接投资:欧洲:捷克,对外直接投资:欧洲:丹麦,对外直接投资:欧洲:爱沙尼亚,对外直接投资:欧洲:芬兰,对外直接投资:欧洲:法国,对外直接投资:欧洲:格鲁吉亚,对外直接投资:欧洲:德国,对外直接投资:欧洲:希腊,对外直接投资:欧洲:匈牙利,对外直接投资:欧洲:冰岛,对外直接投资:欧洲:爱尔兰,对外直接投资:欧洲:意大利,对外直接投资:欧洲:拉脱维亚,对外直接投资:欧洲:列支敦士登,对外直接投资:欧洲:立陶宛,对外直接投资:欧洲:卢森堡,对外直接投资:欧洲:马其顿,对外直接投资:欧洲:马耳他,对外直接投资:欧洲:荷兰,对外直接投资:欧洲:挪威,对外直接投资:欧洲:波兰,对外直接投资:欧洲:葡萄牙,对外直接投资:欧洲:罗马尼亚,对外直接投资:欧洲:俄罗斯,对外直接投资:欧洲:塞尔维亚,对外直接投资:欧洲:黑山,对外直接投资:欧洲:斯洛伐克,对外直接投资:欧洲:斯洛文尼亚,对外直接投资:欧洲:西班牙,对外直接投资:欧洲:瑞典,对外直接投资:欧洲:瑞士,对外直接投资:欧洲:乌克兰,对外直接投资:欧洲:英国,对外直接投资:拉丁美洲,对外直接投资:拉丁美洲:安提瓜和巴布达,对外直接投资:拉丁美洲:阿根廷,对外直接投资:拉丁美洲:巴哈马,对外直接投资:拉丁美洲:巴巴多斯,对外直接投资:拉丁美洲:伯利兹,对外直接投资:拉丁美洲:玻利维亚,对外直接投资:拉丁美洲:英属维尔京群岛,对外直接投资:拉丁美洲:巴西,对外直接投资:拉丁美洲:开曼群岛,对外直接投资:拉丁美洲:智利,对外直接投资:拉丁美洲:哥伦比亚,对外直接投资:拉丁美洲:哥斯达黎加,对外直接投资:拉丁美洲:古巴,对外直接投资:拉丁美洲:多米尼克,对外直接投资:拉丁美洲:多米尼加共和国,对外直接投资:拉丁美洲:厄瓜多尔,对外直接投资:拉丁美洲:格林纳达,对外直接投资:拉丁美洲:圭亚那,对外直接投资:拉丁美洲:洪都拉斯,对外直接投资:拉丁美洲:牙买加,对外直接投资:拉丁美洲:墨西哥,对外直接投资:拉丁美洲:尼加拉瓜,对外直接投资:拉丁美洲:萨尔瓦多,对外直接投资:拉丁美洲:圣卢西亚,对外直接投资:拉丁美洲:巴拿马,对外直接投资:拉丁美洲:巴拉圭,对外直接投资:拉丁美洲:秘鲁,对外直接投资:拉丁美洲:圣文森特和格林纳丁斯,对外直接投资:拉丁美洲:苏里南,对外直接投资:拉丁美洲:特立尼达和多巴哥,对外直接投资:拉丁美洲:危地马拉,对外直接投资:拉丁美洲:乌拉圭,对外直接投资:拉丁美洲:委内瑞拉,对外直接投资:拉丁美洲:英属安圭拉,对外直接投资:北美洲,对外直接投资:北美洲:加拿大,对外直接投资:北美洲:美国,对外直接投资:北美洲:百慕大群岛,对外直接投资:大洋洲,对外直接投资:大洋洲:澳大利亚,对外直接投资:大洋洲:斐济,对外直接投资:大洋洲:基里巴斯,对外直接投资:大洋洲:库克群岛,对外直接投资:大洋洲:马绍尔群岛共和国,对外直接投资:大洋洲:密克罗尼西亚联邦,对外直接投资:大洋洲:新西兰,对外直接投资:大洋洲:帕劳共和国,对外直接投资:大洋洲:巴布亚新几内亚,对外直接投资:大洋洲:所罗门群岛,对外直接投资:大洋洲:汤加,对外直接投资:大洋洲:瓦努阿图,对外直接投资:大洋洲:萨摩亚,对外直接投资:截至累计:亚洲,对外直接投资:截至累计:亚洲:阿富汗,对外直接投资:截至累计:亚洲:巴林,对外直接投资:截至累计:亚洲:孟加拉国,对外直接投资:截至累计:亚洲:文莱,对外直接投资:截至累计:亚洲:塞浦路斯,对外直接投资:截至累计:亚洲:柬埔寨,对外直接投资:截至累计:亚洲:东帝汶,对外直接投资:截至累计:亚洲:香港特别行政区 (中国),对外直接投资:截至累计:亚洲:印度,对外直接投资:截至累计:亚洲:印度尼西亚,对外直接投资:截至累计:亚洲:伊朗,对外直接投资:截至累计:亚洲:伊拉克,对外直接投资:截至累计:亚洲:以色列,对外直接投资:截至累计:亚洲:日本,对外直接投资:截至累计:亚洲:约旦,对外直接投资:截至累计:亚洲:哈萨克斯坦,对外直接投资:截至累计:亚洲:吉尔吉斯,对外直接投资:截至累计:亚洲:朝鲜,对外直接投资:截至累计:亚洲:韩国,对外直接投资:截至累计:亚洲:科威特,对外直接投资:截至累计:亚洲:老挝,对外直接投资:截至累计:亚洲:黎巴嫩,对外直接投资:截至累计:亚洲:马尔代夫,对外直接投资:截至累计:亚洲:澳门特别行政区 (中国),对外直接投资:截至累计:亚洲:马来西亚,对外直接投资:截至累计:亚洲:蒙古,对外直接投资:截至累计:亚洲:缅甸,对外直接投资:截至累计:亚洲:尼泊尔,对外直接投资:截至累计:亚洲:阿曼,对外直接投资:截至累计:亚洲:巴基斯坦,对外直接投资:截至累计:亚洲:巴勒斯坦,对外直接投资:截至累计:亚洲:菲律宾,对外直接投资:截至累计:亚洲:卡塔尔,对外直接投资:截至累计:亚洲:沙特阿拉伯,对外直接投资:截至累计:亚洲:新加坡,对外直接投资:截至累计:亚洲:斯里兰卡,对外直接投资:截至累计:亚洲:叙利亚,对外直接投资:截至累计:亚洲:塔吉克,对外直接投资:截至累计:亚洲:台湾省,对外直接投资:截至累计:亚洲:泰国,对外直接投资:截至累计:亚洲:土库曼,对外直接投资:截至累计:亚洲:土耳其,对外直接投资:截至累计:亚洲:阿拉伯联合酋长国,对外直接投资:截至累计:亚洲:乌兹别克,对外直接投资:截至累计:亚洲:越南,对外直接投资:截至累计:亚洲:也门共和国,对外直接投资:截至累计:非洲,对外直接投资:截至累计:非洲:阿尔及利亚,对外直接投资:截至累计:非洲:安哥拉,对外直接投资:截至累计:非洲:贝宁,对外直接投资:截至累计:非洲:博茨瓦纳,对外直接投资:截至累计:非洲:布基纳法索,对外直接投资:截至累计:非洲:布隆迪,对外直接投资:截至累计:非洲:喀麦隆,对外直接投资:截至累计:非洲:佛得角,对外直接投资:截至累计:非洲:中非,对外直接投资:截至累计:非洲:乍得,对外直接投资:截至累计:非洲:科摩罗,对外直接投资:截至累计:非洲:民主刚果,对外直接投资:截至累计:非洲:刚果,对外直接投资:截至累计:非洲:科特迪瓦共和国,对外直接投资:截至累计:非洲:吉布提,对外直接投资:截至累计:非洲:埃及,对外直接投资:截至累计:非洲:赤道几内亚,对外直接投资:截至累计:非洲:厄立特里亚,对外直接投资:截至累计:非洲:埃塞俄比亚,对外直接投资:截至累计:非洲:加蓬,对外直接投资:截至累计:非洲:冈比亚,对外直接投资:截至累计:非洲:加纳,对外直接投资:截至累计:非洲:几内亚,对外直接投资:截至累计:非洲:几内亚比绍,对外直接投资:截至累计:非洲:肯尼亚,对外直接投资:截至累计:非洲:莱索托,对外直接投资:截至累计:非洲:利比里亚,对外直接投资:截至累计:非洲:利比亚,对外直接投资:截至累计:非洲:马达加斯加,对外直接投资:截至累计:非洲:马拉维,对外直接投资:截至累计:非洲:马里,对外直接投资:截至累计:非洲:毛里塔尼亚,对外直接投资:截至累计:非洲:毛里求斯,对外直接投资:截至累计:非洲:摩洛哥,对外直接投资:截至累计:非洲:莫桑比克,对外直接投资:截至累计:非洲:纳米比亚,对外直接投资:截至累计:非洲:尼日尔,对外直接投资:截至累计:非洲:尼日利亚,对外直接投资:截至累计:非洲:卢旺达,对外直接投资:截至累计:非洲:圣多美和普林西比,对外直接投资:截至累计:非洲:塞内加尔,对外直接投资:截至累计:非洲:塞舌尔,对外直接投资:截至累计:非洲:塞拉利昂,对外直接投资:截至累计:非洲:南非,对外直接投资:截至累计:非洲:南苏丹,对外直接投资:截至累计:非洲:苏丹,对外直接投资:截至累计:非洲:坦桑尼亚,对外直接投资:截至累计:非洲:多哥,对外直接投资:截至累计:非洲:突尼斯,对外直接投资:截至累计:非洲:乌干达,对外直接投资:截至累计:非洲:赞比亚,对外直接投资:截至累计:非洲:津巴布韦,对外直接投资:截至累计:欧洲,对外直接投资:截至累计:欧洲:阿尔巴尼亚,对外直接投资:截至累计:欧洲:亚美尼亚,对外直接投资:截至累计:欧洲:奥地利,对外直接投资:截至累计:欧洲:阿塞拜疆,对外直接投资:截至累计:欧洲:白俄罗斯,对外直接投资:截至累计:欧洲:比利时,对外直接投资:截至累计:欧洲:波斯尼亚—黑塞哥维那,对外直接投资:截至累计:欧洲:保加利亚,对外直接投资:截至累计:欧洲:克罗地亚,对外直接投资:截至累计:欧洲:捷克,对外直接投资:截至累计:欧洲:丹麦,对外直接投资:截至累计:欧洲:爱沙尼亚,对外直接投资:截至累计:欧洲:芬兰,对外直接投资:截至累计:欧洲:法国,对外直接投资:截至累计:欧洲:格鲁吉亚,对外直接投资:截至累计:欧洲:德国,对外直接投资:截至累计:欧洲:希腊,对外直接投资:截至累计:欧洲:匈牙利,对外直接投资:截至累计:欧洲:冰岛,对外直接投资:截至累计:欧洲:爱尔兰,对外直接投资:截至累计:欧洲:意大利,对外直接投资:截至累计:欧洲:拉脱维亚,对外直接投资:截至累计:欧洲:列支敦士登,对外直接投资:截至累计:欧洲:立陶宛,对外直接投资:截至累计:欧洲:卢森堡,对外直接投资:截至累计:欧洲:马其顿,对外直接投资:截至累计:欧洲:马耳他,对外直接投资:截至累计:欧洲:摩尔多瓦,对外直接投资:截至累计:欧洲:荷兰,对外直接投资:截至累计:欧洲:挪威,对外直接投资:截至累计:欧洲:波兰,对外直接投资:截至累计:欧洲:葡萄牙,对外直接投资:截至累计:欧洲:罗马尼亚,对外直接投资:截至累计:欧洲:俄罗斯,对外直接投资:截至累计:欧洲:塞尔维亚和黑山,对外直接投资:截至累计:欧洲:塞尔维亚,对外直接投资:截至累计:欧洲:黑山,对外直接投资:截至累计:欧洲:斯洛伐克,对外直接投资:截至累计:欧洲:斯洛文尼亚,对外直接投资:截至累计:欧洲:西班牙,对外直接投资:截至累计:欧洲:瑞典,对外直接投资:截至累计:欧洲:瑞士,对外直接投资:截至累计:欧洲:乌克兰,对外直接投资:截至累计:欧洲:英国,对外直接投资:截至累计:拉丁美洲,对外直接投资:截至累计:拉丁美洲:安提瓜和巴布达,对外直接投资:截至累计:拉丁美洲:阿根廷,对外直接投资:截至累计:拉丁美洲:巴哈马,对外直接投资:截至累计:拉丁美洲:巴巴多斯,对外直接投资:截至累计:拉丁美洲:伯利兹,对外直接投资:截至累计:拉丁美洲:玻利维亚,对外直接投资:截至累计:拉丁美洲:英属维尔京群岛,对外直接投资:截至累计:拉丁美洲:巴西,对外直接投资:截至累计:拉丁美洲:开曼群岛,对外直接投资:截至累计:拉丁美洲:智利,对外直接投资:截至累计:拉丁美洲:哥伦比亚,对外直接投资:截至累计:拉丁美洲:哥斯达黎加,对外直接投资:截至累计:拉丁美洲:古巴,对外直接投资:截至累计:拉丁美洲:多米尼克,对外直接投资:截至累计:拉丁美洲:多米尼加共和国,对外直接投资:截至累计:拉丁美洲:厄瓜多尔,对外直接投资:截至累计:拉丁美洲:格林纳达,对外直接投资:截至累计:拉丁美洲:圭亚那,对外直接投资:截至累计:拉丁美洲:洪都拉斯,对外直接投资:截至累计:拉丁美洲:牙买加,对外直接投资:截至累计:拉丁美洲:墨西哥,对外直接投资:截至累计:拉丁美洲:尼加拉瓜,对外直接投资:截至累计:拉丁美洲:萨尔瓦多,对外直接投资:截至累计:拉丁美洲:圣卢西亚,对外直接投资:截至累计:拉丁美洲:巴拿马,对外直接投资:截至累计:拉丁美洲:巴拉圭,对外直接投资:截至累计:拉丁美洲:秘鲁,对外直接投资:截至累计:拉丁美洲:圣文森特和格林纳丁斯,对外直接投资:截至累计:拉丁美洲:苏里南,对外直接投资:截至累计:拉丁美洲:特立尼达和多巴哥,对外直接投资:截至累计:拉丁美洲:乌拉圭,对外直接投资:截至累计:拉丁美洲:委内瑞拉,对外直接投资:截至累计:拉丁美洲:英属安圭拉,对外直接投资:截至累计:北美洲,对外直接投资:截至累计:北美洲:加拿大,对外直接投资:截至累计:北美洲:美国,对外直接投资:截至累计:北美洲:百慕大群岛,对外直接投资:截至累计:大洋洲,对外直接投资:截至累计:大洋洲:澳大利亚,对外直接投资:截至累计:大洋洲:斐济,对外直接投资:截至累计:大洋洲:基里巴斯,对外直接投资:截至累计:大洋洲:库克群岛,对外直接投资:截至累计:大洋洲:马绍尔群岛共和国,对外直接投资:截至累计:大洋洲:密克罗尼西亚联邦,对外直接投资:截至累计:大洋洲:新西兰,对外直接投资:截至累计:大洋洲:帕劳共和国,对外直接投资:截至累计:大洋洲:巴布亚新几内亚,对外直接投资:截至累计:大洋洲:所罗门群岛,对外直接投资:截至累计:大洋洲:汤加,对外直接投资:截至累计:大洋洲:瓦努阿图,对外直接投资:截至累计:大洋洲:萨摩亚,对外直接投资:截至累计:大洋洲:其他国家地区
区域,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
次国家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,月,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
