单位,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对
黑龙江省,51117,10629,108220,25877,158423,39076,252041,66748,52785,13319,118499,31117,178890,48141,283017,79403,56893,15609,125603,36821,193260,57520,303854,91296,63319,18315,128791,41735,195753,66076,"307,657","103,998",70022,21581,141690,46716,218627,74297,333796,116638,78377,25193,158143,54732,235879,83694,345671,124312,119743,34229,200166,67860,272968,101258,376612,147613,107854,37958,188178,76794,258937,113991,352253,157983,90553,39857,164837,77836,236801,117518,318170,161998,86870,43395,158221,82997,229427,119495,306745,164902,80258,45944,142622,84026,215297,130055,286732,175277,78450,47414,147109,89626,217971,135011,278195,175566,73333,47086,132737,86255,192781,129814,244512,170212,23551,15817,63379,42211,118027,83339
上海市,28691,7650,59316,17884,86713,27660,119034,37308,40410,8666,71530,18056,106767,27131,141224,37102,36692,9336,69676,18882,103665,28212,141468,37851,37315,8291,60610,16751,98116,29769,"129,196","37,759",39473,9004,73963,19332,108119,29803,148858,39209,35634,9055,67904,19311,102189,31723,144238,44158,43040,14844,76462,28571,109404,44303,149535,60885,39463,12574,73561,25673,105916,39461,141939,52981,34235,11723,68221,26607,100370,42375,143640,58392,32765,17024,64713,33609,95097,58403,125215,74350,29456,12319,58493,25509,83844,38903,108691,50834,27729,12035,54656,25661,80412,39463,105112,51820,26424,13199,52828,27636,76186,41771,98667,54845,15362,6996,41473,21657,65204,39613
江苏省,162225,19173,302953,42647,423899,64167,564739,88161,171863,21767,302208,44712,449412,70374,621669,96696,187970,24704,348171,50684,510040,77664,718683,104604,207051,25690,359601,53756,524648,87001,"748,782","120,947",230291,27606,429869,59095,622001,91652,867881,127196,259518,33111,464801,68245,657104,105321,882170,140545,299205,42410,494044,83444,676394,129424,903723,175402,269236,44189,462876,89257,641140,135777,831386,177583,225281,43581,400092,91038,568186,140714,786024,188781,225475,53372,393420,106432,549337,163754,716111,219687,198382,62262,354206,124352,509763,186567,675507,246241,181781,59509,339507,125382,487081,189995,637705,245720,167927,65122,307665,134031,440775,202828,569258,260567,80052,32162,227685,98141,355260,169457
浙江省,103662,13784,194484,31578,274986,47844,383324,67802,112815,16685,200594,34735,293563,53121,408298,73710,112704,19392,206696,39376,302248,60269,423078,81680,121562,20617,213426,42241,303146,64278,"430,043","88,554",122551,20794,222934,43498,309719,66198,429917,88346,119494,22884,217520,45905,310616,71653,430104,96176,126236,26047,222588,52838,302444,77656,412439,106634,129406,26948,227099,54151,315519,83212,433271,110125,103591,27234,198429,56880,276655,85147,391991,114526,101208,28989,191185,59889,273459,92273,365783,122340,95648,31930,177756,64568,252296,99058,344106,132696,91632,32375,177372,66651,253982,100403,337096,129434,81374,31183,151725,63365,223520,99782,293614,130271,46672,18165,131462,49495,196652,83737
安徽省,153855,9714,273153,21192,384589,35094,530676,48777,165973,12839,294500,24610,393229,38058,545383,53525,176533,15692,300396,31628,418793,47949,602889,66093,200350,17599,331619,35559,454692,52470,"641,131","80,494",223089,20869,373246,41188,514057,64042,700941,87854,256364,25158,427227,50888,582954,76865,763270,103012,309115,30998,472736,61051,628794,93969,805647,124815,294396,35895,474490,71039,635361,105717,797313,139459,269887,37231,424203,72781,576916,113046,729918,145304,255309,46190,412716,90003,566115,141612,710100,184714,238997,55681,388961,109259,537582,165436,673763,208236,220552,56073,362346,110778,495871,164018,617942,210244,193455,59879,317679,113975,439649,172399,541554,217145,92226,33193,236497,90957,348584,152729
福建省,17340,1054,69646,5027,136362,13440,318373,28025,83144,6049,153334,14379,212575,20451,348482,34273,80335,7638,160543,17196,223230,27826,355515,41283,99475,10305,165741,20060,247824,31138,"377,894","44,827",110285,11550,194662,23765,268400,36550,361738,46796,111652,12393,197005,27290,270824,41931,372072,56262,127826,15736,213187,30883,288035,47752,383110,63245,118218,17404,201925,34673,272216,51594,368447,69106,98289,16627,174779,34177,249021,52378,340560,71175,95477,18185,169277,37992,230535,57661,308806,78199,88804,21378,155640,43655,215797,66582,291897,89303,79906,22212,147907,45749,204581,70087,273471,91544,75806,25025,132329,49124,183906,75426,238598,97308,41483,16707,99645,40788,145955,67164
江西省,78413,5658,149391,13074,194713,17097,310956,31274,104477,8027,176571,18136,247906,25682,343386,34761,94302,7822,198114,20769,253490,30364,340098,41445,122186,10401,163801,18472,224927,28433,"361,099","48,892",80297,9548,170158,23870,240494,35640,372522,54303,102786,11327,197487,27597,248431,38973,371380,58873,157684,21886,225408,37483,283747,53568,376314,70398,128278,20508,181104,34084,263762,51294,367422,71663,111971,21854,164759,38350,221182,58019,306942,78595,100298,21499,151895,39151,206022,61958,285433,82995,102015,26419,157063,47219,208921,69605,284608,93926,101265,28262,181107,56227,234026,81377,330817,107403,111168,32630,174596,59090,228235,88492,288307,113577,71699,22213,147955,51170,205810,79469
山东省,210155,16666,359626,37387,492539,56438,744467,76467,215137,20373,373418,42840,538373,66113,796772,90245,216700,24498,402419,49850,607380,75514,910468,99976,253926,24784,429835,53906,624850,81947,"924,657","116,386",248130,29367,450276,61396,669682,91439,969092,127850,258163,33696,454894,67728,665771,105419,933262,142951,250550,39586,450396,81530,653840,126795,891338,172116,266691,44961,473692,91548,648027,137738,831823,181336,181232,42830,346398,89380,513542,138548,698340,184416,188527,46919,357955,97528,509980,150793,670678,201101,170672,54066,320139,108780,470925,168586,625812,220424,151920,53676,304677,112951,455696,172267,599042,224523,143987,56541,278470,117211,407003,180664,531272,236828,77007,29907,221477,88022,349477,151042
河南省,94729,6755,191106,21184,280334,36309,571624,74501,99101,9165,200115,22812,342543,40429,672663,78579,148733,13101,284108,29601,399406,45367,782986,87856,170334,13603,337114,32465,473665,51768,"942,551","97,050",180368,18519,419504,43768,575563,65013,1021062,115035,231600,22329,538754,52984,733864,80936,1144715,134850,363740,37489,654319,78451,889002,120706,1221358,172028,388531,46852,620340,90390,840011,135886,1140731,187194,338074,49530,549332,95432,778673,147813,1084549,211227,300673,56683,515152,109265,724127,171585,964620,238266,273528,69638,461501,134327,649464,203717,869660,275705,260228,74167,447807,145926,612049,214155,800396,282511,235133,80133,412494,157720,581899,236533,763893,312488,113049,37181,300198,112564,463320,195153
湖北省,132282,12465,247220,28375,333656,46729,482533,66283,147053,15498,256476,32544,357828,50559,537537,75752,171460,20157,286212,39219,397319,59240,563919,81416,183309,21036,293499,42267,404623,66073,"569,986","90,680",195234,24283,324626,47321,442456,73608,611729,97294,203361,27945,318730,51495,435988,80398,608411,108744,251282,33822,380632,63343,493952,96435,640317,126592,233116,37801,358414,68886,475874,102645,622170,133857,211518,39417,328479,74093,436523,109208,564454,143067,182279,42562,296088,81121,395829,122845,512990,160074,161062,48623,266880,93038,362319,136108,470794,174701,147049,48949,245666,91734,344127,140091,437374,176851,133944,53130,222428,97428,308395,148732,388803,188237,49742,21800,144938,68713,228974,122745
